Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious-Critical,Tot Cases per 1M pop
Moldova,29,6,,,1,28,1,7.2
Sri Lanka,28,10,,,1,27,,1.3
Azerbaijan,25,2,1,,6,18,,2.5
Senegal,24,,,,2,22,,1.4
Bosnia and Herzegovina,24,,,,,24,,7.3
Oman,22,,,,9,13,,4.3
Afghanistan,21,5,,,1,20,,0.5
Tunisia,20,,,,,20,2,1.7
Jordan,19,7,,,1,18,,1.9
North Macedonia,19,,,,1,18,,9.1
Faeroe Islands,18,7,,,,18,,
Turkey,18,,,,,18,,0.2
Lithuania,17,3,,,1,16,,6.2
Venezuela,17,,,,,17,,0.6
Burkina Faso,15,12,,,,15,,0.7
Jamaica,15,5,,,2,13,,5.1
Martinique,15,5,,,,15,,
Andorra,14,9,,,,14,,
Maldives,13,,,,,13,,
Cambodia,12,,,,1,11,,0.7
Macao,11,,,,10,1,,
Dominican Republic,11,,,,,11,,1
Bolivia,11,1,,,,11,,0.9
French Guiana,11,4,,,,11,,
Kazakhstan,10,1,,,,10,,0.5
Réunion,9,2,,,,9,,
Guatemala,8,7,1,,,7,,0.4
New Zealand,8,,,,,8,,1.7
Bangladesh,8,3,,,3,5,,
Paraguay,8,,,,,8,1,1.1
Uruguay,8,2,,,,8,,2.3
Uzbekistan,8,4,,,,8,,0.2
Guyana,7,3,1,,,6,,
Liechtenstein,7,,,,,7,,
Monaco,6,4,,,,6,,
Channel Islands,6,3,,,,6,,
Ghana,6,,,,,6,,0.2
Guadeloupe,6,1,,,,6,,
Honduras,6,3,,,,6,,0.6
Ukraine,5,2,1,,,4,,0.1
Ethiopia,5,1,,,,5,,
Puerto Rico,5,,,,,5,,1.7
Rwanda,5,,,,,5,,0.4
Cameroon,4,,,,,4,,0.2
Ivory Coast,4,,,,,4,,0.2
Cuba,4,,,,,4,,0.4
Trinidad and Tobago,4,2,,,,4,,2.9
French Polynesia,3,,,,,3,,
Gibraltar,3,2,,,1,2,,
Guam,3,,,,,3,,
Kenya,3,,,,,3,,0.1
St. Barth,3,2,,,,3,,
Seychelles,3,,,,,3,,
Nigeria,2,,,,1,1,,
Aruba,2,,,,,2,,
Curaçao,2,,,,,2,,
DRC,2,,,,,2,,
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,
Saint Martin,2,,,,,2,,
Cayman Islands,1,,1,1,,0,,
Sudan,1,,1,,,0,,
Nepal,1,,,,1,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,,,,,1,,
Benin,1,1,,,,1,,0.1
Bhutan,1,,,,,1,,
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Greenland,1,1,,,,1,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Liberia,1,1,,,,1,,0.2
Mauritania,1,,,,,1,,0.2
Mayotte,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Vincent Grenadines,1,,,,,1,,
Somalia,1,1,,,,1,,0.1
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Tanzania,1,1,,,,1,,
Togo,1,,,,,1,,0.1
U.S. Virgin Islands,1,,,,,1,,
Total:,"179,829","10,269","7,074",569,"78,292","94,463","6,162",23.1
